cell_type_ontology_term_id,cell_type,count
CL:0002279,type L enteroendocrine cell,1017
CL:0002425,early T lineage precursor,1013
CL:1001021,kidney loop of Henle descending limb epithelial cell,1011
CL:4030041,luminal endometrial multiciliated epithelial cell,990
CL:0002546,embryonic blood vessel endothelial progenitor cell,977
CL:1001033,peritubular capillary endothelial cell,970
CL:4052049,striated cell of salivary gland,968
CL:0002576,perineurial cell,934
CL:2000028,cerebellum glutamatergic neuron,923
CL:1001005,glomerular capillary endothelial cell,920
CL:0002366,myometrial cell,917
CL:0000096,mature neutrophil,906
CL:4033044,deuterosomal cell,902
CL:0002598,bronchial smooth muscle cell,880
CL:4033018,lung megakaryocyte,869
CL:0009073,medullary thymic epithelial cell type 3,847
CL:1000458,melanocyte of skin,847
CL:0000652,pinealocyte,827
CL:0000060,odontoblast,824
CL:4033081,cycling myeloid cell,821
CL:0000237,keratinizing barrier epithelial cell,820
CL:0000078,peridermal cell,817
CL:0002268,P/D1 enteroendocrine cell,804
CL:0011004,lens fiber cell,787
CL:0000133,neurectodermal cell,779
CL:1001285,vasa recta descending limb cell,776
CL:1000447,epithelial cell of stratum germinativum of esophagus,754
CL:0008015,inhibitory motor neuron,745
CL:0009005,salivary gland cell,745
CL:0007010,preosteoblast,736
CL:4042001,TAC3-positive striatal interneuron,728
CL:0000650,mesangial cell,715
CL:1000333,serous cell of epithelium of lobular bronchiole,697
CL:0002328,bronchial epithelial cell,693
CL:4033023,airway submucosal gland collecting duct epithelial cell,689
CL:0001080,"NKp44-negative group 3 innate lymphoid cell, human",685
CL:1000305,fibroblast of connective tissue of glandular part of prostate,684
CL:4023097,arachnoid barrier cell,681
CL:0002590,smooth muscle cell of the brain vasculature,677
CL:0000921,type I NK T cell,676
CL:0009072,medullary thymic epithelial cell type 2,668
CL:0012001,neuron of the forebrain,666
CL:0002552,fibroblast of gingiva,660
CL:0000423,tip cell,647
CL:4030009,epithelial cell of proximal tubule segment 1,640
CL:1000339,enterocyte of epithelium proper of small intestine,635
CL:0002188,glomerular endothelial cell,622
CL:0000979,IgG memory B cell,607
CL:0009111,centrocyte,598
CL:0001079,"NKp44-positive group 3 innate lymphoid cell, human",596
CL:4033069,cycling T cell,593
CL:0002262,endothelial cell of sinusoid,592
CL:0009038,colon macrophage,578
CL:0000006,neuronal receptor cell,576
CL:0011115,precursor cell,567
CL:0000821,B-1b B cell,555
CL:0002293,epithelial cell of thymus,554
CL:0000850,serotonergic neuron,547
CL:0000956,pre-B-I cell,542
CL:4033017,bronchiolar smooth muscle cell,537
CL:0011025,exhausted T cell,524
CL:0002607,migratory enteric neural crest cell,520
CL:4052048,intercalated cell of salivary gland,518
CL:4023083,chandelier cell,490
CL:0000696,PP cell,485
CL:0000339,glioblast (sensu Vertebrata),467
CL:4047053,TREM2-positive macrophage,464
CL:0002255,stromal cell of endometrium,464
CL:0002284,type X enteroendocrine cell,464
CL:0000946,antibody secreting cell,450
CL:0000362,epidermal cell,446
CL:1001607,articular chondrocyte,434
CL:0000508,type G enteroendocrine cell,428
CL:0000029,neural crest derived neuron,419
CL:0001074,"CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",417
CL:0009113,T follicular regulatory cell,415
CL:0000514,smooth muscle myoblast,411
CL:4033026,lung perichondrial fibroblast,411
CL:4033042,metallothionein-positive alveolar macrophage,410
CL:0000442,follicular dendritic cell,410
CL:1000341,enterocyte of epithelium proper of jejunum,405
CL:0000771,eosinophil,401
CL:0000317,sebocyte,388
CL:4047003,cycling plasma cell,379
CL:0005021,mesenchymal lymphangioblast,365
CL:0001064,malignant cell,358
CL:0000531,primary sensory neuron (sensu Teleostei),348
CL:0002254,epithelial cell of small intestine,339
CL:1000850,macula densa epithelial cell,332
CL:1000330,serous cell of epithelium of trachea,326
CL:1000304,fibroblast of connective tissue of nonglandular part of prostate,323
CL:0007004,premigratory neural crest cell,322
CL:0000569,cardiac mesenchymal cell,315
CL:4023068,thalamic excitatory neuron,312
CL:0000135,fibrocyte,311
CL:0000880,choroid plexus macrophage,306
CL:1000597,papillary tips cell,305
CL:1000448,epithelial cell of sweat gland,301
CL:4033022,mucus secreting cell of bronchus submucosal gland,283
CL:0000820,B-1a B cell,279
CL:0009101,fibroblastic reticular cell,277
CL:0002053,"CD22-positive, CD38-low small pre-B cell",276
CL:0002316,supporting cell of vestibular epithelium,270
CL:1001572,colon endothelial cell,267
CL:0000680,muscle precursor cell,254
CL:0009042,enteroendocrine cell of colon,251
CL:0000842,mononuclear leukocyte,242
CL:0000935,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",236
CL:0002189,granular cell of epidermis,235
CL:2000021,sebaceous gland cell,233
CL:0002046,early pro-B cell,233
CL:4030031,interstitial cell,228
CL:1001474,medium spiny neuron,226
CL:0001077,"ILC1, human",213
CL:0010001,stromal cell of bone marrow,213
CL:4033096,diffuse bipolar 4b cell,209
CL:0002192,metamyelocyte,206
CL:0000595,enucleate erythrocyte,202
CL:0002673,tongue muscle cell,188
CL:1000491,mesothelial cell of pleura,180
CL:0001043,"activated CD4-positive, alpha-beta T cell, human",162
CL:0000432,reticular cell,151
CL:0000459,noradrenergic cell,138
CL:0000841,mature conventional dendritic cell,136
CL:2000001,peripheral blood mononuclear cell,131
CL:0000075,columnar/cuboidal epithelial cell,129
CL:1001225,kidney collecting duct cell,125
CL:1000909,kidney loop of Henle epithelial cell,121
CL:0000015,male germ cell,116
CL:0002277,type I enteroendocrine cell,110
CL:0002420,immature T cell,108
CL:4023121,sst chodl GABAergic cortical interneuron,100
CL:4047007,immature pericyte,100
CL:0000502,type D enteroendocrine cell,93
CL:1000717,kidney outer medulla collecting duct intercalated cell,89
CL:1000698,kidney resident macrophage,87
CL:0000667,collagen secreting cell,84
CL:0000001,primary cultured cell,80
CL:4033003,myoepithelial cell of bronchus submucosal gland,78
CL:1000742,glomerular mesangial cell,78
CL:0001024,"CD34-positive, CD38-negative hematopoietic stem cell",74
CL:0002278,GIP cell,74
CL:0001066,"erythroid progenitor cell, mammalian",74
CL:0000776,immature neutrophil,69
CL:0002481,peritubular myoid cell,67
CL:0000163,endocrine cell,64
CL:0000020,spermatogonium,64
CL:0002628,immature microglial cell,63
CL:0002351,progenitor cell of endocrine pancreas,60
CL:0002305,epithelial cell of distal tubule,55
CL:0002157,endosteal cell,54
CL:0000199,mechanoreceptor cell,54
CL:4052021,granzyme K-associated CD8 T cell,52
CL:0000846,vestibular dark cell,49
CL:0002457,epidermal Langerhans cell,48
CL:0002207,brush cell of trachea,46
CL:1000549,kidney cortex collecting duct epithelial cell,45
CL:0009009,paneth cell of colon,44
CL:4023054,mesothelial fibroblast,36
CL:0002092,bone marrow cell,36
CL:0001081,"group 2 innate lymphoid cell, human",36
CL:0002377,immature Schwann cell,33
CL:0002009,macrophage dendritic cell progenitor,31
CL:0000209,taste receptor cell,29
CL:0009004,retinal cell,27
CL:0000823,immature natural killer cell,26
CL:0000526,afferent neuron,26
CL:0000504,enterochromaffin-like cell,26
CL:4047012,angiogenic pericyte,25
CL:0002488,trophoblast giant cell,19
CL:1000353,microfold cell of epithelium of small intestine,19
CL:0000546,T-helper 2 cell,16
CL:1000311,adipocyte of epicardial fat of left ventricle,15
CL:0000743,hypertrophic chondrocyte,14
CL:1000331,serous cell of epithelium of bronchus,12
CL:1000073,spinal cord radial glial cell,12
CL:4033082,cycling basal cell,12
CL:0002280,type N enteroendocrine cell,10
CL:0002470,MHC-II-positive classical monocyte,7
CL:0000023,oocyte,6
CL:0009022,stromal cell of lamina propria of small intestine,5
CL:0002422,enucleated reticulocyte,3
CL:4023189,parasol ganglion cell of retina,2
CL:0001049,"activated CD8-positive, alpha-beta T cell, human",1
CL:0002419,mature T cell,1
