cell_type_ontology_term_id,cell_type,count
CL:0004214,type 3b cone bipolar cell,11417
CL:0000990,conventional dendritic cell,10860
CL:0000815,regulatory T cell,10595
CL:0000573,retinal cone cell,10593
CL:0009099,fibro/adipogenic progenitor cell,10455
CL:0002325,lactocyte,10321
CL:1000768,kidney connecting tubule epithelial cell,10185
CL:1001474,medium spiny neuron,9950
CL:4033057,luminal adaptive secretory precursor cell of mammary gland,9934
CL:4030028,glycinergic amacrine cell,9869
CL:0002085,tanycyte,9737
CL:4030067,L5/6 near-projecting glutamatergic neuron,9728
CL:0002546,embryonic blood vessel endothelial progenitor cell,9693
CL:0002327,mammary gland epithelial cell,9604
CL:0004216,type 5b cone bipolar cell,9576
CL:0000706,choroid plexus epithelial cell,9441
CL:0000173,pancreatic D cell,9276
CL:1001430,urethra urothelial cell,8802
CL:2000008,microvascular endothelial cell,8768
CL:0002320,connective tissue cell,8646
CL:0000860,classical monocyte,8537
CL:0002436,mature CD4 single-positive thymocyte,8491
CL:2000004,pituitary gland cell,8490
CL:0011102,parasympathetic neuron,8353
CL:0000624,"CD4-positive, alpha-beta T cell",8342
CL:0000636,Mueller cell,8204
CL:4023051,vascular leptomeningeal cell,8175
CL:0000192,smooth muscle cell,8139
CL:0004213,type 3a cone bipolar cell,8114
CL:0002191,granulocytopoietic cell,8082
CL:0000653,podocyte,8035
CL:1001428,bladder urothelial cell,7964
CL:4030065,L6 intratelencephalic projecting glutamatergic neuron,7873
CL:0011113,spiral ganglion neuron,7844
CL:4030066,ureteric bud cell,7724
CL:0002094,interstitial cell of ovary,7531
CL:0000232,erythrocyte,7442
CL:0000158,club cell,7234
CL:0000630,supporting cell,6927
CL:0000516,perineuronal satellite cell,6916
CL:0002362,cerebellar granule cell precursor,6802
CL:1001609,muscle fibroblast,6768
CL:0000810,"CD4-positive, alpha-beta thymocyte",6724
CL:0002570,mesenchymal stem cell of adipose tissue,6626
CL:0000928,"activated CD4-negative, CD8-negative type I NK T cell",6621
CL:0002064,pancreatic acinar cell,6535
CL:0001065,innate lymphoid cell,6524
CL:0000221,ectodermal cell,6330
CL:0000388,tendon cell,6299
CL:0000034,stem cell,6239
CL:0000586,germ cell,6209
CL:0002671,endothelial stalk cell,6142
CL:0000738,leukocyte,6120
CL:2000018,endothelial cell of coronary artery,5987
CL:0008031,cortical interneuron,5927
CL:0000786,plasma cell,5707
CL:0000811,"CD8-positive, alpha-beta thymocyte",5686
CL:0002428,double-positive blast,5593
CL:0009012,transit amplifying cell of small intestine,5442
CL:0000746,cardiac muscle cell,5439
CL:1000334,enterocyte of epithelium of small intestine,5383
CL:0002410,pancreatic stellate cell,5380
CL:1001567,lung endothelial cell,5308
CL:0002129,regular atrial cardiac myocyte,5117
CL:0002212,type II muscle cell,5057
CL:0008011,skeletal muscle satellite stem cell,4856
CL:0007011,enteric neuron,4787
